system,symbol,persisted_row_index,entry_price,close,atr10,included_in_final,reason,gen_reasons,alloc_reasons
system1,ABVX,0,91.49,,,True,kept,,
system1,ABAT,1,6.72,,,False,unknown,,
system1,ACMR,2,39.79,,,True,kept,,
system1,ABBV,3,232.06,,,True,kept,,
system1,ACM,4,133.65,,,False,unknown,,
system1,ADM,5,63.19,,,False,unknown,,
system1,ACHR,6,11.98,,,True,kept,,
system1,ACLS,7,83.88,,,True,kept,,
system1,SPY,8,671.3,,,False,unknown,,
system1,ABT,9,129.51,,,True,kept,,
system3,ABAT,0,6.72,,1.52,True,kept,,
system4,ADM,0,63.19,,,True,kept,,
system4,SPY,1,671.3,,,True,kept,,
system4,ABBV,2,232.06,,,False,unknown,,
system4,ACM,3,133.65,,,True,kept,,
system4,ADI,4,246.22,,,True,kept,,
system4,A,5,143.0,,,True,kept,,
system4,AAPL,6,262.24,,,True,kept,,
system5,ACI,0,19.66,,0.55,True,kept,,
system5,ACLX,1,86.77,,3.89,True,kept,,
system5,ACXP,2,6.97,,0.72,True,kept,,
system5,ABAT,3,6.72,,1.52,False,unknown,,
system5,ABVX,4,91.49,,4.08,False,unknown,,
system5,ABTC,5,5.09,,0.53,True,kept,,
system5,AAON,6,100.96,,4.32,True,kept,,
system5,ACIW,7,49.01,,1.43,True,kept,,
system5,ADI,8,246.22,,6.25,False,unknown,,
system5,ACVA,9,9.09,,0.43,True,kept,,
